ID, Nazwa hotelu, Imie wlasciciela, Nazwisko Wlasciciela, Data powstania, Liczba gwiazdek, Liczba personelu, Nazwisko opiekuna, Imie opiekuna, Data urodzenia opiekuna, Plec opiekuna, Oddzial, Stanowisko, Kraj, Region, Miasto, Pensja, Waluta, Data zatrudnienia
10064,Sheraton,"Sylwester",Jopek,1951-01-25,5,42,Krawczyk,"Izyda",1978-11-19,"K",ODDZ_HIS_004,Glowny opiekun,Hiszpania,Barcelona,CITY,8129.822992071004,EUR,2000-01-15
10016,Plaza,"Tomir",Nowak,1968-09-01,4,103,Nowak,"Konstans",1977-05-04,"M",ODDZ_FRA_007,Opiekun,Francja,Akwitania,CITY,9734.042382801037,PLN,2002-02-04
10034,Mercurial,"Sewer",Kowalski,1941-11-27,4,193,Kiepski,"Mścisław",1984-03-23,"M",ODDZ_POL_002,Przewodnik,Polska,Mazury,CITY,6643.529291949307,PLN,2004-07-16
10084,Mercurial,"Trzebisław",Nowak,1953-12-15,1,77,Jopek,"Budzisław",1975-11-19,"M",ODDZ_HIS_001,Przewodnik,Hiszpania,Asturia,CITY,7924.698641767072,EUR,2002-03-10
10009,Plaza,"Wielisława",Nowak,1997-08-20,4,72,Krawczyk,"Budzisław",1978-09-25,"M",ODDZ_FRA_004,Przewodnik,Francja,Owernia,CITY,3302.649099134039,EUR,2007-02-20
10084,Mercurial,"Trzebisław",Nowak,1953-12-15,1,77,Jopek,"Hildegarda",1982-01-03,"K",ODDZ_HIS_006,Opiekun,Hiszpania,Asturia,CITY,2976.611750891684,USD,2007-01-03
10044,Mercurial,"Radek",Jopek,1997-11-25,1,135,Krawczyk,"Witosław",1982-07-26,"M",ODDZ_FRA_004,Przewodnik,Francja,Owernia,CITY,9937.144322243588,EUR,2016-11-11
10094,Plaza,"Jozue",Kowalski,1931-05-19,4,137,Kiepski,"Klaudyna",1971-11-26,"K",ODDZ_HIS_007,Glowny opiekun,Hiszpania,Kantabria,CITY,6646.281665822366,EUR,2012-07-27
10003,Mercurial,"Ruprecht",Krawczyk,1970-01-13,5,175,Jopek,"Dagmara",1994-10-17,"K",ODDZ_POL_004,Glowny opiekun,Polska,Tatry,CITY,8360.815308828387,USD,2014-02-12
10060,Plaza,"Racibor",Kiepski,2014-04-05,5,36,Kiepski,"Paulina",1987-01-16,"K",ODDZ_FRA_006,Opiekun,Francja,Burgundia,CITY,4694.004669495438,USD,2014-02-25
10009,Plaza,"Wielisława",Nowak,1997-08-20,4,72,Krawczyk,"Jaśmina",1978-08-12,"K",ODDZ_FRA_003,Przewodnik,Francja,Owernia,CITY,9559.797418016473,EUR,2004-06-06
10044,Mercurial,"Radek",Jopek,1997-11-25,1,135,Jopek,"Sofia",1988-03-07,"K",ODDZ_FRA_007,Glowny opiekun,Francja,Owernia,CITY,2179.5235985695945,USD,2010-10-08
10052,Plaza,"Augustyn",Krawczyk,1987-07-25,1,150,Kiepski,"Stefan",1977-05-28,"M",ODDZ_FRA_002,Opiekun,Francja,Owernia,CITY,6116.828870034527,EUR,2015-11-04
10081,Mercurial,"Trzebowit",Kiepski,1988-08-25,2,36,Nowak,"Kewin",1974-01-22,"M",ODDZ_HIS_007,Opiekun,Hiszpania,Kantabria,CITY,3115.8806286520094,PLN,2013-03-08
10054,Plaza,"Waleria",Krawczyk,1994-04-21,2,194,Nowak,"Waldemar",1982-11-18,"M",ODDZ_HIS_009,Glowny opiekun,Hiszpania,Kantabria,CITY,8716.85871481018,PLN,2015-03-03
10086,Sheraton,"Marietta",Krawczyk,1941-12-30,5,165,Kowalski,"Augustyn",1993-09-27,"M",ODDZ_FRA_003,Opiekun,Francja,Owernia,CITY,3662.9452746624374,USD,2001-10-02
10020,Sheraton,"Bogumiła",Kowalski,1978-09-14,4,105,Krawczyk,"Ścibora",1971-05-18,"K",ODDZ_POL_004,Glowny opiekun,Polska,Bieszczady,CITY,2727.6933544308067,EUR,2008-03-04
10041,Mercurial,"Hermenia",Kowalski,1989-12-22,5,104,Kowalski,"Augusta",1991-11-03,"K",ODDZ_POL_002,Opiekun,Polska,Pomorze,CITY,9636.518209139183,EUR,2001-09-20
10070,Plaza,"Ludwina",Kiepski,1938-10-06,5,108,Kowalski,"Telimena",1996-06-09,"K",ODDZ_POL_006,Opiekun,Polska,Mazury,CITY,2299.564158906227,EUR,2009-04-25
10090,Sheraton,"Uniedrog",Nowak,2015-08-26,4,225,Kiepski,"Unimir",1979-10-04,"M",ODDZ_FRA_002,Glowny opiekun,Francja,Owernia,CITY,5883.121270953428,USD,2012-02-02
