ID Sprzedawcy, Imie sprzedawcy, Nazwisko Sprzedawcy, Pensja, Data zatrudnienia, Pesel, Oddzial, Stanowisko, Kraj, Region, Miasto, Procent znizki, Data urodzenia, Numer identyfikacyjny, Plec
100,Zawisza,Kowalski,9169.66,2000-11-09,64848944079,ODDZ__08,Sprzedawca,Hiszpania,Nawarra,CITY,26,1972-02-12,htYJrMWt3,K
101,Felicyta,Kiepski,9859.42,2015-02-21,06005406675,ODDZ__046,Mlodszy sprzedawca,Hiszpania,Barcelona,CITY,31,1979-06-21,HgGq3MVHE,K
102,Areta,Nowak,4087.53,2009-03-08,11022764618,ODDZ__047,Sprzedawca,Hiszpania,Nawarra,CITY,5,1995-12-28,UNMV78cGj,K
103,Lubomysł,Nowak,7490.35,2012-04-18,19484750745,ODDZ__081,Glowny sprzedawca,Hiszpania,Madryt,CITY,18,1976-10-18,GSy6gIjp4,M
104,Wirginia,Kowalski,4587.82,2010-07-16,27967195031,ODDZ__09,Glowny sprzedawca,Polska,Bieszczady,CITY,0,1979-02-24,yMDfHxuDG,K
105,Szymoneta,Krawczyk,3399.43,2000-05-06,94154911175,ODDZ__027,Glowny sprzedawca,Francja,Akwitania,CITY,31,1994-10-03,O8HsKokVU,K
106,Radomysł,Jopek,6550.57,2015-02-28,93794724401,ODDZ__048,Mlodszy sprzedawca,Hiszpania,Asturia,CITY,8,1976-12-22,ompM0RvoD,M
107,Mścibor,Krawczyk,8266.45,2007-07-07,51239225128,ODDZ__086,Glowny sprzedawca,Hiszpania,Nawarra,CITY,38,1974-01-21,UcLVVSsxd,M
108,Glikeria,Kiepski,5750.11,2015-12-03,58429947181,ODDZ__019,Glowny sprzedawca,Francja,Burgundia,CITY,41,1993-04-04,skOiPCvp6,K
109,Ramona,Krawczyk,3763.85,2007-01-09,16820661168,ODDZ__065,Glowny sprzedawca,Polska,Tatry,CITY,44,1985-01-12,CqOPBHUnn,K
110,Lubosław,Krawczyk,3069.86,2009-02-03,13054895655,ODDZ__056,Mlodszy sprzedawca,Hiszpania,Nawarra,CITY,29,1989-11-06,qWo4jsIMc,M
111,Georgia,Jopek,7236.51,2006-03-27,20432499184,ODDZ__027,Mlodszy sprzedawca,Francja,Akwitania,CITY,32,1986-02-28,bWGqJfuhL,K
112,Wierzchosława,Nowak,8426.62,2012-11-02,56884500641,ODDZ__083,Sprzedawca,Polska,Bieszczady,CITY,54,1993-03-04,DwfuFhMtG,K
113,Niecisław,Krawczyk,6876.59,2006-08-12,42147936645,ODDZ__050,Glowny sprzedawca,Hiszpania,Asturia,CITY,38,1973-04-26,JJPtmCRtV,M
